方言,可靠性层级,Prompt标签,模型提示,意图,普通话原意,轻方言版本,强方言版本,表演提示
普通话,high,普通话,默认稳定路线。,arrival,你终于来了。,你终于来了。,你终于来了。,先停顿半秒，再克制开口。
普通话,high,普通话,默认稳定路线。,question_hide,你到底要躲到什么时候？,你到底要躲到什么时候？,你还要躲到什么时候？,压住火气，句尾略沉。
普通话,high,普通话,默认稳定路线。,complaint_tell,你为什么不告诉我？,你为什么不告诉我？,你为什么一直瞒着我？,有委屈，不要喊。
普通话,high,普通话,默认稳定路线。,deny,我不信。,我不信。,我一个字都不信。,短促、坚定。
普通话,high,普通话,默认稳定路线。,warning,你别再逼我了。,你别再逼我了。,别再逼我。,语速偏慢，克制警告。
普通话,high,普通话,默认稳定路线。,reassure,别怕，有我在。,别怕，有我在。,别怕，我在这儿。,声音放柔。
普通话,high,普通话,默认稳定路线。,dismiss,这件事，到此为止。,这件事，到此为止。,这件事就到这里。,冷静收尾。
普通话,high,普通话,默认稳定路线。,urge,你快点回来。,你快点回来。,你马上回来。,急切但不要大喊。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,arrival,你终于来了。,你终于嚟啦。,你终于肯嚟喇。,如释重负，但保持克制。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,question_hide,你到底要躲到什么时候？,你到底要匿到几时？,你仲想匿到几时啊？,质问感，尾音不要夸张。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,complaint_tell,你为什么不告诉我？,你做咩唔同我讲？,你点解一直都唔同我讲？,带委屈的追问。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,deny,我不信。,我唔信。,我一个字都唔信。,短促、坚决。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,warning,你别再逼我了。,你唔好再逼我。,你唔好再逼我喇。,低声警告。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,reassure,别怕，有我在。,唔使惊，有我喺度。,唔使惊，我喺度。,放轻声音。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,dismiss,这件事，到此为止。,呢件事，到此为止。,呢件事就到呢度。,冷淡收声。
粤语,high,自然粤语,优先验证。可使用常见粤语书面字，避免堆叠过多生僻字。,urge,你快点回来。,你快啲返嚟。,你即刻返嚟。,急切但清晰。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,arrival,你终于来了。,你终于来了嘛。,你娃终于晓得来了嗦。,松一口气，句尾自然。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,question_hide,你到底要躲到什么时候？,你到底要躲到啥时候嘛？,你到底要躲到好久嘛？,压住火气，不要表演化。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,complaint_tell,你为什么不告诉我？,你咋个不跟我说嘛？,你为啥子一直瞒到我嘛？,有委屈，略带埋怨。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,deny,我不信。,我才不信。,我硬是不信。,短促坚定。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,warning,你别再逼我了。,你莫再逼我了。,你莫再逼我哈。,克制的警告。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,reassure,别怕，有我在。,莫怕，有我在。,莫得事，有我在。,语气温和。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,dismiss,这件事，到此为止。,这个事，就到这儿。,这个事情，就莫再说了。,平静但不容商量。
四川话,high,轻度四川方言,优先验证。使用大众熟悉的词汇与语气词，保持可理解性。,urge,你快点回来。,你快点回来嘛。,你赶紧回来噻。,急切，不要吼。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,arrival,你终于来了。,你可算来了。,你可算是来了。,放下心来，轻叹气。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,question_hide,你到底要躲到什么时候？,你到底要躲到啥时候？,你还打算躲到啥时候啊？,直接质问，保持严肃。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,complaint_tell,你为什么不告诉我？,你咋不跟我说呢？,你咋一直瞒着我呢？,困惑和埋怨混合。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,deny,我不信。,我不信。,你说啥我都不信。,干脆利落。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,warning,你别再逼我了。,你可别再逼我了。,你别搁这儿逼我。,压低声音。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,reassure,别怕，有我在。,别怕，有我呢。,没事儿，有我在这儿呢。,可靠、放松。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,dismiss,这件事，到此为止。,这事儿，就到这儿。,这事儿打今儿起就翻篇了。,明确结束话题。
东北话,high,轻度东北方言,优先验证。避免把所有台词写成喜剧腔，严肃角色也要克制。,urge,你快点回来。,你赶紧回来。,别磨叽了，赶紧回来。,略急，保持清晰。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,arrival,你终于来了。,你可算来了。,你可算来了嘞。,轻微松气。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,question_hide,你到底要躲到什么时候？,你到底要躲到啥时候？,你还要躲到啥时候嘞？,不满但克制。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,complaint_tell,你为什么不告诉我？,你咋不跟我说？,你咋一直不跟我说嘞？,埋怨追问。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,deny,我不信。,我不信。,我可不信。,坚定。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,warning,你别再逼我了。,你可别再逼我了。,你可甭再逼我了。,警告。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,reassure,别怕，有我在。,别怕，有我在。,别怕，有我嘞。,放柔声音。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,dismiss,这件事，到此为止。,这事儿就到这儿。,这事儿就恁办吧。,收尾。
河南话风格,medium,轻度河南方言,建议小规模实测。以大众可理解表达为主。,urge,你快点回来。,你赶紧回来。,你赶紧回来吧。,急切。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,arrival,你终于来了。,你可算来了。,你可算来咧。,松气。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,question_hide,你到底要躲到什么时候？,你到底要躲到啥时候？,你到底要躲到啥时候咧？,压住急躁。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,complaint_tell,你为什么不告诉我？,你咋不跟我说？,你咋一直不跟额说咧？,委屈追问。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,deny,我不信。,我不信。,额不信。,干脆。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,warning,你别再逼我了。,你甭再逼我了。,你甭再逼额咧。,低声警告。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,reassure,别怕，有我在。,甭怕，有我在。,甭怕，有额在。,可靠。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,dismiss,这件事，到此为止。,这事儿就到这儿。,这事儿就到这儿咧。,明确结束。
陕西话风格,medium,轻度陕西方言,建议小规模实测。保持短句，避免过多地域字词。,urge,你快点回来。,你赶紧回来。,你赶紧回来咧。,急切。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,arrival,你终于来了。,你终于来了咯。,你总算晓得来了咯。,轻轻松气。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,question_hide,你到底要躲到什么时候？,你到底要躲到什么时候咯？,你还要躲到什么时候咯？,质问。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,complaint_tell,你为什么不告诉我？,你怎么不跟我讲咯？,你怎么一直不跟我讲咯？,埋怨。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,deny,我不信。,我不信。,我才不信咯。,坚定。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,warning,你别再逼我了。,你莫再逼我了。,你莫再逼我咯。,警告。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,reassure,别怕，有我在。,莫怕，有我在。,莫怕咯，有我在。,温和。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,dismiss,这件事，到此为止。,这个事，就到这里。,这个事就莫再讲了咯。,收尾。
湖南话风格,medium,轻度湖南方言,建议小规模实测。优先使用晓得、莫等大众熟悉表达。,urge,你快点回来。,你快点回来咯。,你赶紧回来咯。,急切。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,arrival,你终于来了。,你可算来了。,恁可算来了。,松气。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,question_hide,你到底要躲到什么时候？,你到底要躲到啥时候？,恁还要躲到啥时候？,直截了当。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,complaint_tell,你为什么不告诉我？,你咋不跟我说？,恁咋一直不跟我说？,困惑埋怨。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,deny,我不信。,我不信。,我可不信。,坚定。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,warning,你别再逼我了。,你甭再逼我了。,恁甭再逼我了。,警告。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,reassure,别怕，有我在。,甭怕，有我在。,甭怕，有我在这儿。,温和。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,dismiss,这件事，到此为止。,这事儿就到这儿。,这事儿就恁着吧。,结束话题。
山东话风格,medium,轻度山东方言,建议小规模实测。使用大众可理解的恁、咋等少量特征。,urge,你快点回来。,你赶紧回来。,恁赶紧回来。,急切。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,arrival,你终于来了。,你终于嚟啦，我等咗你好耐。,你终于show up啦，我等咗你好耐。,松一口气，英文轻带过，不要刻意重读。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,question_hide,你到底要躲到什么时候？,你到底想避到几时？,你仲想avoid到几时啊？,质问但克制，英文自然连读。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,complaint_tell,你为什么不告诉我？,你做咩唔同我讲？,你做咩连个message都唔俾我？,委屈追问，英文如出现则自然轻带过。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,deny,我不信。,我唔信。,Sorry，我真系唔信。,先轻停顿，再明确否定。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,warning,你别再逼我了。,你唔好再逼我。,你唔好再push我喇。,低声警告，push 自然融入粤语节奏。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,reassure,别怕，有我在。,唔使惊，有我喺度。,Relax，有我喺度，会搞掂嘅。,安抚语气，英文轻柔。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,dismiss,这件事，到此为止。,呢件事，就到呢度。,呢件事close咗佢，唔使再讲。,冷静收尾，close 不要强调。
香港粤语中英夹杂,high,自然香港粤语口语，少量中英夹杂,优先小样验证。英文只插入香港口语中自然出现的常用词，不要逐词翻译，不要为了中英夹杂而硬塞英文。,urge,你快点回来。,你快啲返嚟。,你即刻返嚟，返到call我。,急切但清晰。
