dialogue_id,category_id,category_name,role_tags,emotion,intensity,line_text,acting_note,duration_hint
MANDARIN-001,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,中,我们已经没关系了。,表情克制，不要提高音量。,10秒内单句
MANDARIN-002,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,中,你不用再解释。,开口前轻停顿，声音偏低，结尾收声。,10秒内单句
MANDARIN-003,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,中,以后别再来找我。,表情克制，不要提高音量。,10秒内单句
MANDARIN-004,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,中,这不是你该问的事。,开口前轻停顿，声音偏低，结尾收声。,10秒内单句
MANDARIN-005,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,中,我没有义务等你。,表情克制，不要提高音量。,10秒内单句
MANDARIN-006,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,中,你迟到了太久。,开口前轻停顿，声音偏低，结尾收声。,10秒内单句
MANDARIN-007,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,偏强,我不想再听第二遍。,表情克制，不要提高音量。,10秒内单句
MANDARIN-008,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,偏强,你可以走了。,开口前轻停顿，声音偏低，结尾收声。,10秒内单句
MANDARIN-009,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,偏强,有些事，错过了就是错过了。,表情克制，不要提高音量。,10秒内单句
MANDARIN-010,cold_distance,冷淡疏离,冷感主角 / 前任 / 职场上位者,失望克制,偏强,从今天开始，我们各走各的。,开口前轻停顿，声音偏低，结尾收声。,10秒内单句
MANDARIN-011,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,中,我不喜欢别人替我做决定。,直视镜头，句尾明确落下。,10秒内单句
MANDARIN-012,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,中,这件事，我说了算。,语速偏慢，咬字清晰，压低声音。,10秒内单句
MANDARIN-013,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,中,不要挑战我的耐心。,直视镜头，句尾明确落下。,10秒内单句
